Transaction_ID,Date,Year,Month,Quarter,Department,Region,Product_Category,Customer_Segment,Revenue,COGS,Operating_Expense,Budget_Revenue,Budget_COGS,Budget_Expense
TXN00223,9/01/2024,2024,1,Q1,Operations,Auckland,Training,Government,10246.05,5324.92,779.35,10059.91,5106.14,735.06
TXN00785,9/01/2024,2024,1,Q1,Marketing,Christchurch,Consulting,Corporate,27821.16,11460.36,3803.78,27346.84,11643.61,3832.58
TXN01110,9/01/2024,2024,1,Q1,Operations,Auckland,Hardware,Government,18648.99,12504.13,1435.24,18403.45,11860.31,1488.1
TXN01203,9/01/2024,2024,1,Q1,Sales,Auckland,Training,Individual,8975.82,4209.25,918.93,8975.39,4221.9,903.78
TXN01516,9/01/2024,2024,1,Q1,Operations,Auckland,Support Services,SME,12089.57,4509.71,878.63,11731.17,4426.49,927.95
TXN00025,10/01/2024,2024,1,Q1,Sales,Tauranga,Support Services,Corporate,10115.35,3670.38,934.55,10230.55,3757.23,1056.01
TXN01609,10/01/2024,2024,1,Q1,Sales,Wellington,Professional Services,Individual,20664.87,8435.59,1905.99,20885.59,8187.55,1903.58
TXN01692,10/01/2024,2024,1,Q1,Sales,Tauranga,Consulting,SME,30757.02,13463.17,2922.02,31180.15,13666.4,2975.32
TXN00626,11/01/2024,2024,1,Q1,Sales,Christchurch,Software,SME,18677.91,6124.35,1954.76,18727.12,6164.04,1901.92
TXN00375,12/01/2024,2024,1,Q1,IT,Christchurch,Software,SME,15182.64,4995.28,1684.69,15311.39,5284.93,1920.13
TXN01705,12/01/2024,2024,1,Q1,Operations,Tauranga,Support Services,Corporate,9625.84,3681.79,849.63,8882.37,3750.25,813.36
TXN00047,13/01/2024,2024,1,Q1,Customer Service,Hamilton,Software,Individual,13778.76,4625.03,1074.58,13201.88,4276.57,1085.01
TXN00182,13/01/2024,2024,1,Q1,Operations,Wellington,Software,Individual,13044.23,4045.87,1010.12,12871.53,4054.44,1080.6
TXN00823,13/01/2024,2024,1,Q1,Sales,Christchurch,Hardware,Corporate,15452.98,10015.34,1516.56,15766.68,10080.27,1573.62
TXN01553,13/01/2024,2024,1,Q1,IT,Auckland,Professional Services,Corporate,26709.81,10657.48,2799.56,26816.62,10888.79,2812.35
TXN00366,14/01/2024,2024,1,Q1,Customer Service,Auckland,Consulting,Individual,11445.69,5145.51,1047.6,10900.22,5030.35,1122.8
TXN00971,14/01/2024,2024,1,Q1,Sales,Hamilton,Hardware,SME,15161.08,10951.54,1562.33,14480.81,10640.79,1629.21
TXN01031,14/01/2024,2024,1,Q1,Administration,Auckland,Professional Services,Corporate,22399.19,8855.47,1650.25,23178.17,9518.83,1725.86
TXN01438,14/01/2024,2024,1,Q1,Customer Service,Auckland,Training,Corporate,14742.14,6417.17,1229.87,14951.8,6190,1216.41
TXN01788,14/01/2024,2024,1,Q1,Administration,Wellington,Support Services,Government,18048.82,7260.31,1389.9,17251.68,7197.54,1495.4
TXN00547,15/01/2024,2024,1,Q1,Sales,Hamilton,Support Services,Corporate,9904.08,3840.69,985.17,10088.69,3675.86,986.61
TXN01009,15/01/2024,2024,1,Q1,Customer Service,Auckland,Professional Services,Individual,14106.89,5486.59,1123.88,13985.28,5699.75,1176.06
TXN01770,15/01/2024,2024,1,Q1,Marketing,Wellington,Support Services,Corporate,9975.68,3755.69,1199.14,9540.28,3735.51,1175.07
TXN01689,16/01/2024,2024,1,Q1,Marketing,Wellington,Training,Corporate,13147.39,6071.3,1538.98,13130.51,6065.6,1562.31
TXN00161,17/01/2024,2024,1,Q1,Sales,Auckland,Support Services,SME,23819.57,9055.49,2317.29,21866.64,9339.06,2368.6
TXN00449,17/01/2024,2024,1,Q1,Sales,Auckland,Training,Corporate,17128.16,7399.24,1388.7,17215.91,7784.63,1431.73
TXN00585,17/01/2024,2024,1,Q1,Customer Service,Auckland,Professional Services,SME,16873.05,6633.11,1308.7,16122.71,6792.19,1395.97
TXN01348,17/01/2024,2024,1,Q1,Sales,Wellington,Consulting,Corporate,47014.01,21594.2,5007.45,42097.32,21386.21,4787.79
TXN01963,17/01/2024,2024,1,Q1,Operations,Christchurch,Software,SME,16310.91,6065.35,1153.63,16403.76,5722.3,1183.69
TXN01651,19/01/2024,2024,1,Q1,Administration,Auckland,Consulting,SME,27046.28,12263.36,1879.93,25542.93,12161.05,1813.7
TXN01513,20/01/2024,2024,1,Q1,IT,Wellington,Software,Government,25029.14,8103.57,2722.55,25134.73,8291.63,2692.29
TXN01815,20/01/2024,2024,1,Q1,IT,Tauranga,Software,Corporate,16344.14,5702.04,1743.63,15513.31,5799.01,1839.8
TXN00635,22/01/2024,2024,1,Q1,IT,Tauranga,Hardware,Government,18463.68,13064.3,1898.98,17772.18,13511.36,1943.68
TXN01720,22/01/2024,2024,1,Q1,Marketing,Wellington,Software,Government,20654.33,7071.2,2427.59,18790.36,6529.2,2506.88
TXN01887,23/01/2024,2024,1,Q1,Operations,Christchurch,Hardware,Individual,8323.99,6114.68,620.33,8422.69,6456.47,664.5
TXN00565,24/01/2024,2024,1,Q1,Sales,Hamilton,Support Services,Corporate,20398.48,7919.61,1931.72,20611.27,8136.91,1913.56
TXN00754,24/01/2024,2024,1,Q1,IT,Christchurch,Software,SME,18493.49,6366.29,1785.78,19667.48,6679,1873.14
TXN01030,24/01/2024,2024,1,Q1,Administration,Hamilton,Software,Corporate,17287.31,5447.6,1353.8,15487.25,5546.71,1374.47
TXN01198,24/01/2024,2024,1,Q1,Administration,Hamilton,Hardware,SME,10948.73,7342.63,879.75,10571.19,7736.21,889.72
TXN01265,25/01/2024,2024,1,Q1,Marketing,Hamilton,Consulting,Government,22884.57,9780.96,2931.05,21418.35,9986.88,3156.78
TXN01584,25/01/2024,2024,1,Q1,Sales,Auckland,Hardware,Corporate,24965.43,17251.18,2410.9,24362.82,18715.6,2310.79
TXN00677,27/01/2024,2024,1,Q1,Customer Service,Auckland,Hardware,SME,17522.21,11804.41,1534.56,18148.24,11594.48,1640.15
TXN00752,27/01/2024,2024,1,Q1,Operations,Christchurch,Support Services,Corporate,10158.02,3929.09,810.99,9611.77,3801.87,842
TXN00619,28/01/2024,2024,1,Q1,Sales,Auckland,Professional Services,Corporate,25195.83,10219.51,2421.64,23748.45,10347.28,2541.37
TXN00727,29/01/2024,2024,1,Q1,Sales,Auckland,Software,Corporate,26302.15,9212.07,2434.93,26836.72,9563.61,2792.43
TXN01982,29/01/2024,2024,1,Q1,Sales,Auckland,Support Services,Individual,6671.42,2453.8,626.24,6358.19,2359.69,702.38
TXN01058,30/01/2024,2024,1,Q1,Operations,Tauranga,Support Services,Government,9230.89,3595.82,717.13,9082.18,3727.71,722.54
TXN01801,30/01/2024,2024,1,Q1,Administration,Wellington,Professional Services,Corporate,30511.37,12110.35,2174.76,28766.29,12194.61,2140.46
TXN00219,31/01/2024,2024,1,Q1,Operations,Wellington,Consulting,Corporate,29410.93,13387.46,2480.13,28914.87,13825.87,2564.29
TXN00994,1/02/2024,2024,2,Q1,IT,Tauranga,Professional Services,Government,21650,9239.84,2204.38,21388.24,9444.11,2302.46
TXN00410,2/02/2024,2024,2,Q1,Sales,Auckland,Professional Services,Corporate,36244.2,13952.98,3274.45,34997.97,14067.4,3368.85
TXN00617,2/02/2024,2024,2,Q1,Customer Service,Auckland,Professional Services,Corporate,29318.75,10901.69,2241.07,29324,11033.17,2189.48
TXN00691,2/02/2024,2024,2,Q1,Sales,Auckland,Consulting,SME,22026.29,8541.09,1999.49,21170.18,8410.85,2056.27
TXN01947,2/02/2024,2024,2,Q1,Operations,Hamilton,Training,Corporate,7514.13,3379.25,595,7023.96,3455.04,646.12
TXN01839,3/02/2024,2024,2,Q1,Administration,Auckland,Support Services,Corporate,12201.73,4715.59,874.72,10930.99,4783,868.38
TXN01958,3/02/2024,2024,2,Q1,Administration,Christchurch,Training,SME,8735.1,3875.53,581.77,8688.04,4001.37,602.9
TXN00883,4/02/2024,2024,2,Q1,Operations,Auckland,Hardware,Individual,7501.63,4844.24,688.83,7398.92,5064.23,722.93
TXN01754,5/02/2024,2024,2,Q1,IT,Christchurch,Hardware,Corporate,22667.8,14989.81,2305.32,21326.67,15618.7,2191.02
TXN00284,6/02/2024,2024,2,Q1,Marketing,Auckland,Software,SME,18731.03,6401.01,2125.47,18139.06,6236.99,1961.54
TXN00402,6/02/2024,2024,2,Q1,Sales,Auckland,Hardware,Corporate,15964.67,10394.29,1420.68,15299.24,10921.97,1522.77
TXN00448,6/02/2024,2024,2,Q1,Sales,Christchurch,Support Services,SME,7317.51,2811.46,670.78,7478.4,2907.91,655.74
TXN01056,6/02/2024,2024,2,Q1,Sales,Christchurch,Software,Government,21241.81,7312.17,2095.68,20263.94,7495.37,2251.32
TXN01151,7/02/2024,2024,2,Q1,Operations,Auckland,Hardware,Individual,7881.13,5830.4,611.42,8231.65,6118.24,594.39
TXN01425,7/02/2024,2024,2,Q1,Sales,Auckland,Professional Services,Corporate,24748.2,9620.49,2602.1,24535.81,9707.51,2751.89
TXN01859,7/02/2024,2024,2,Q1,Sales,Christchurch,Support Services,Individual,6011.18,2288.8,517.49,6161.93,2263.24,561.99
TXN01525,8/02/2024,2024,2,Q1,Marketing,Wellington,Professional Services,Government,21813.92,8951.25,2850.59,21425.82,9327.8,2830.62
TXN01817,8/02/2024,2024,2,Q1,Sales,Auckland,Professional Services,SME,20185.1,7935.31,1978.08,21857.67,8176.06,2007.44
TXN01924,8/02/2024,2024,2,Q1,IT,Wellington,Support Services,Corporate,14782.15,5569.53,1447.36,13139.75,5519.92,1589.25
TXN00028,9/02/2024,2024,2,Q1,Customer Service,Auckland,Training,SME,6263.01,2699.6,533.66,6136.19,2769.58,564.41
TXN00030,9/02/2024,2024,2,Q1,Sales,Wellington,Support Services,Corporate,16596.19,5912.05,1452.46,16744.91,5991.09,1584.14
TXN00738,9/02/2024,2024,2,Q1,Marketing,Tauranga,Software,Corporate,18268.13,6244.77,2303.5,16365.76,6488.52,2339.92
TXN00026,10/02/2024,2024,2,Q1,Customer Service,Auckland,Hardware,Corporate,16526.56,10685.56,1550.99,17446.13,11520.22,1438.54
TXN00384,10/02/2024,2024,2,Q1,Sales,Wellington,Hardware,SME,12277.3,8127.83,1088.24,12529.68,8317.88,1244.99
TXN01140,10/02/2024,2024,2,Q1,Operations,Christchurch,Consulting,SME,16267.94,6337.91,1172.69,14851.11,5983.58,1213.41
TXN01572,10/02/2024,2024,2,Q1,Marketing,Auckland,Consulting,SME,19024.68,8141.64,2497.76,19804.38,8755.33,2891.01
TXN01781,10/02/2024,2024,2,Q1,Customer Service,Hamilton,Consulting,Corporate,22390.07,8971.56,1786.34,21328.58,9460.94,1723.57
TXN00467,11/02/2024,2024,2,Q1,Operations,Auckland,Consulting,Corporate,31817.88,13804.49,2527.76,32098.62,14372.39,2717.35
TXN01157,11/02/2024,2024,2,Q1,Operations,Hamilton,Software,Corporate,19643.69,7278.73,1740.45,20916.46,7401.43,1912.82
TXN01671,11/02/2024,2024,2,Q1,IT,Christchurch,Training,SME,7165.92,2969.31,778.94,7627.03,3060.07,798.18
TXN00699,12/02/2024,2024,2,Q1,IT,Tauranga,Support Services,Corporate,7780.57,2838.74,861.56,7781.86,2876.98,876.67
TXN00811,12/02/2024,2024,2,Q1,Sales,Wellington,Hardware,Corporate,18719.75,13023.29,1706.71,18334.97,13174.53,1750.93
TXN01005,12/02/2024,2024,2,Q1,IT,Wellington,Support Services,Corporate,15034.08,5956.21,1423.12,14828.03,6215.17,1497.82
TXN01076,12/02/2024,2024,2,Q1,IT,Tauranga,Consulting,Corporate,18607.01,7880.55,1934.39,16711.44,8034.61,1882.53
TXN01766,12/02/2024,2024,2,Q1,Administration,Wellington,Professional Services,SME,20069.25,8397.85,1630.07,18923.61,8369.95,1686.63
TXN00483,13/02/2024,2024,2,Q1,Customer Service,Auckland,Support Services,SME,12321.25,4713.28,1000.46,11705.71,5008.34,1005.31
TXN01540,13/02/2024,2024,2,Q1,Marketing,Christchurch,Hardware,SME,8241.71,5883.52,1035.25,8205.87,6074.89,1065.36
TXN01547,13/02/2024,2024,2,Q1,Customer Service,Tauranga,Software,SME,13123.16,4487.55,1114.04,13114.04,4682.88,1033.22
TXN00711,14/02/2024,2024,2,Q1,Sales,Hamilton,Hardware,Individual,9981.51,7327.47,956.17,8881.8,7312.78,986.2
TXN01001,15/02/2024,2024,2,Q1,Customer Service,Auckland,Professional Services,Individual,14779.51,5963.84,1321.77,14261.21,6024.72,1383.87
TXN01925,15/02/2024,2024,2,Q1,Sales,Christchurch,Professional Services,Corporate,33143.04,13288.7,2796.05,34472.88,13726.41,2945.48
TXN00138,16/02/2024,2024,2,Q1,Sales,Christchurch,Training,SME,7658.04,3435.66,644.26,6985.39,3368.22,637.99
TXN00406,16/02/2024,2024,2,Q1,Operations,Christchurch,Support Services,Corporate,10054.53,3702.79,818.15,9377.13,3643.77,833.15
TXN00543,16/02/2024,2024,2,Q1,Marketing,Wellington,Consulting,SME,30675.02,12410.13,3989.15,29783.99,12518.15,4057.02
TXN00704,16/02/2024,2024,2,Q1,Marketing,Auckland,Support Services,Individual,6623.87,2494.74,809.34,6355.91,2793.77,811.76
TXN01371,16/02/2024,2024,2,Q1,Sales,Hamilton,Support Services,SME,10369.9,4036.38,950.98,10666.22,3927.8,949.03
TXN01600,16/02/2024,2024,2,Q1,Administration,Auckland,Support Services,SME,12254.72,4390.96,1002.15,12093.48,4637.7,1060.01
TXN01787,17/02/2024,2024,2,Q1,Sales,Auckland,Consulting,Corporate,33595.44,13090.13,3143.51,33220.65,14512.09,3092.23
TXN00115,18/02/2024,2024,2,Q1,Sales,Christchurch,Support Services,Corporate,17560.85,6259.39,1625.9,15913.02,6194.82,1657.37
TXN00120,18/02/2024,2024,2,Q1,Customer Service,Auckland,Software,Corporate,29733.19,10991.69,2760.85,28583.7,10282.59,2820.46
TXN00566,18/02/2024,2024,2,Q1,Administration,Tauranga,Consulting,SME,11090.98,4517.81,841.43,11581.08,4367.35,828.85
TXN01293,18/02/2024,2024,2,Q1,Administration,Auckland,Professional Services,Individual,12642.33,4966.01,970.02,12298.22,5071.28,952.29
TXN01991,18/02/2024,2024,2,Q1,Sales,Auckland,Training,SME,9933.88,4585.16,1049.77,9845.37,4794.37,1094.2
TXN00764,20/02/2024,2024,2,Q1,Administration,Wellington,Professional Services,SME,14415.32,5607.18,1041.68,14547.28,5548.7,1044.78
TXN01702,20/02/2024,2024,2,Q1,IT,Christchurch,Consulting,SME,30955.9,12709.3,3677.74,28822.54,12681.14,3977.59
TXN01984,21/02/2024,2024,2,Q1,Operations,Tauranga,Software,Corporate,17227.87,6084.12,1289.04,16657.46,6274.44,1341.49
TXN00222,23/02/2024,2024,2,Q1,Sales,Hamilton,Professional Services,Individual,8776.82,3671.85,807.84,9260.31,3650.78,864.8
TXN01051,23/02/2024,2024,2,Q1,Customer Service,Christchurch,Hardware,Corporate,17824.61,11578.42,1388.54,16724.76,11972.01,1424.84
TXN01684,23/02/2024,2024,2,Q1,Sales,Christchurch,Hardware,Government,24377.87,15974.39,2324.28,23679.44,17110.34,2303.75
TXN00267,24/02/2024,2024,2,Q1,Customer Service,Christchurch,Professional Services,Corporate,28403.14,11698.64,2274.19,27423.56,12004.38,2353.56
TXN00786,24/02/2024,2024,2,Q1,Marketing,Auckland,Hardware,Government,16410.13,11817.82,1606.81,15235.97,11942.5,1599.9
TXN01232,24/02/2024,2024,2,Q1,Sales,Auckland,Hardware,Corporate,20963.31,14543.16,2103.26,21152.63,14953.4,2009.54
TXN01363,24/02/2024,2024,2,Q1,Operations,Auckland,Software,Government,21102.61,7390.05,1836.02,19754.37,7865.47,1874.69
TXN01592,24/02/2024,2024,2,Q1,Operations,Wellington,Support Services,Corporate,11393.33,4461.79,1021.67,11522.25,4419.96,1056.49
TXN01750,24/02/2024,2024,2,Q1,Sales,Wellington,Software,SME,17181.04,5627.96,1579.32,17012.64,5609.7,1622.07
TXN00534,25/02/2024,2024,2,Q1,Sales,Auckland,Hardware,Government,15996.12,10993.99,1378.55,15594.14,11596.6,1303.45
TXN00665,25/02/2024,2024,2,Q1,Customer Service,Christchurch,Consulting,Corporate,14845.18,6194.91,1316.44,14620.52,6640.83,1342.03
TXN00792,26/02/2024,2024,2,Q1,Sales,Tauranga,Software,SME,19899.93,6791.15,1780.26,17636.34,7120.73,1889.26
TXN01437,26/02/2024,2024,2,Q1,Sales,Christchurch,Consulting,Corporate,22450.43,9095.73,2441.29,23428.75,9062.23,2434.57
TXN01641,27/02/2024,2024,2,Q1,Sales,Auckland,Consulting,Corporate,33015.49,13611.37,3243.42,33241.75,13555.44,3066.13
TXN00706,28/02/2024,2024,2,Q1,IT,Auckland,Hardware,Government,15977.61,10585.56,1783.93,15601.51,11336.06,1679.56
TXN00814,28/02/2024,2024,2,Q1,Sales,Auckland,Software,Corporate,23151.5,7679.49,2204.68,23322.91,7553.59,2178.74
TXN01187,28/02/2024,2024,2,Q1,Administration,Hamilton,Support Services,Government,11878.35,4344,778.92,11079.87,4405.98,789.09
TXN01402,28/02/2024,2024,2,Q1,Operations,Hamilton,Hardware,Government,12169.4,8294.66,1002.25,11663.63,8268.81,1016.72
TXN01626,28/02/2024,2024,2,Q1,Administration,Auckland,Professional Services,Corporate,14875.45,5964.6,1022.26,14910.72,6181.18,1048.49
TXN01923,28/02/2024,2024,2,Q1,Customer Service,Christchurch,Software,Corporate,24453.93,8150.35,1772.75,23774.21,8316.34,1830.98
TXN00824,29/02/2024,2024,2,Q1,Marketing,Auckland,Professional Services,SME,26487.2,10317.66,3155.99,27785.3,10447.14,3384.8
TXN01598,29/02/2024,2024,2,Q1,Sales,Auckland,Support Services,Corporate,14837.89,5635.65,1231.32,13364.65,5801.48,1263.28
TXN01759,29/02/2024,2024,2,Q1,Operations,Wellington,Training,Corporate,10951.09,5246.21,928.96,10500.88,5191.36,921.07
TXN01874,29/02/2024,2024,2,Q1,IT,Auckland,Support Services,Corporate,19019.91,7286.54,1877.28,17768.47,7089.79,1919.77
TXN00965,1/03/2024,2024,3,Q1,Administration,Auckland,Consulting,Corporate,38190.31,16445.2,3065.45,35953.83,16455.45,3068.47
TXN01379,1/03/2024,2024,3,Q1,Sales,Hamilton,Training,Government,7703.41,3304.47,831.41,8156.18,3247.55,809.73
TXN01344,3/03/2024,2024,3,Q1,Operations,Tauranga,Consulting,Government,22984.88,9219.04,1957.65,20973.81,9351.73,2060.88
TXN01645,3/03/2024,2024,3,Q1,Sales,Christchurch,Software,Government,26567.32,8899.37,2670.06,25646.64,8865.14,2674.17
TXN00142,4/03/2024,2024,3,Q1,Administration,Wellington,Consulting,Individual,13435.25,5345.84,1093.8,12851.87,5195.88,1102.88
TXN00183,5/03/2024,2024,3,Q1,Sales,Auckland,Hardware,Government,24183.78,15836.43,2161.37,23541.84,16122.56,2056.56
TXN00593,5/03/2024,2024,3,Q1,IT,Auckland,Consulting,Government,32794.34,13535.85,3451.33,32658.95,13958.06,3492.29
TXN01093,5/03/2024,2024,3,Q1,Sales,Auckland,Hardware,Corporate,22750.9,16730.52,1951,21200.98,16763.02,1933.12
TXN00555,6/03/2024,2024,3,Q1,Operations,Auckland,Hardware,SME,6660.43,4605,461.57,6508.78,4470.03,503.17
TXN00650,6/03/2024,2024,3,Q1,Operations,Christchurch,Consulting,SME,14000.95,5950.44,1241.75,13619.98,6391.05,1258.8
TXN00912,7/03/2024,2024,3,Q1,Customer Service,Auckland,Consulting,Corporate,30327.92,13028.43,2430.99,28673.77,13459.36,2448.62
TXN00949,7/03/2024,2024,3,Q1,Operations,Hamilton,Hardware,Individual,4927.52,3219.75,416.95,4949.16,3240.84,415.32
TXN01313,7/03/2024,2024,3,Q1,Operations,Auckland,Hardware,SME,15612.98,10354.98,1190.49,15126.97,10507.55,1347.51
TXN00421,8/03/2024,2024,3,Q1,Operations,Hamilton,Support Services,Government,9301.33,3422.3,732.04,8934.31,3432.48,785.73
TXN00632,8/03/2024,2024,3,Q1,IT,Auckland,Support Services,Corporate,21063.5,8260.11,2128.16,19323.03,8839.69,2161.68
TXN01150,9/03/2024,2024,3,Q1,Customer Service,Hamilton,Training,Individual,6183.58,2577.05,489.81,6062.31,2484.21,534.32
TXN01846,9/03/2024,2024,3,Q1,Operations,Auckland,Hardware,Corporate,14808.34,10007.78,1102.74,14375.5,10328.58,1137.12
TXN00497,12/03/2024,2024,3,Q1,Customer Service,Hamilton,Professional Services,Corporate,23025.14,8593.68,1923.76,23094.85,8927.86,1881.47
TXN01099,12/03/2024,2024,3,Q1,Sales,Wellington,Hardware,Government,19272.72,12673.77,2005.6,18538.34,13327.23,2061.03
TXN01403,13/03/2024,2024,3,Q1,IT,Christchurch,Professional Services,Corporate,35316.16,14373.46,3516.54,33301.36,15549.71,3955.37
TXN01698,15/03/2024,2024,3,Q1,Customer Service,Tauranga,Consulting,SME,13977.08,5889.46,1090.4,13021.28,6192.7,1069.72
TXN01154,17/03/2024,2024,3,Q1,Marketing,Hamilton,Consulting,Corporate,20152.43,8675.21,2506,19820.07,8399.6,2532.3
TXN01756,17/03/2024,2024,3,Q1,IT,Tauranga,Hardware,Corporate,18543.15,11908.81,2083.24,18119.07,12275.24,2218.38
TXN00124,19/03/2024,2024,3,Q1,Marketing,Wellington,Hardware,SME,11971.36,8428.18,1424.42,10981.37,8267.3,1506.57
TXN00891,20/03/2024,2024,3,Q1,IT,Auckland,Software,Corporate,25947.29,8584.99,2414.65,24917.21,9003.8,2475.47
TXN00374,21/03/2024,2024,3,Q1,Administration,Tauranga,Hardware,Government,8236.56,5272.97,679.34,8426.28,5346.82,633.44
TXN00639,21/03/2024,2024,3,Q1,Operations,Wellington,Software,Corporate,21372.82,7126.39,1879.23,21363.45,7199.6,1979.7
TXN00807,21/03/2024,2024,3,Q1,Sales,Wellington,Software,SME,14163.78,5213.84,1373.76,13442.14,5623.83,1356.3
TXN01725,22/03/2024,2024,3,Q1,Operations,Auckland,Hardware,Corporate,20857.42,14202.6,1774.95,21004,14013.74,1748.24
TXN00910,23/03/2024,2024,3,Q1,IT,Hamilton,Professional Services,Corporate,18020.98,7553.45,1740.11,17542.53,7367.85,1868.84
TXN01131,25/03/2024,2024,3,Q1,Customer Service,Christchurch,Training,Corporate,8257.56,3795.6,700.8,7582.01,3750.86,656.06
TXN01259,25/03/2024,2024,3,Q1,Administration,Wellington,Hardware,Corporate,15557.85,10371.32,1112.63,15449.74,10477.23,1209.32
TXN00216,26/03/2024,2024,3,Q1,Operations,Wellington,Software,Government,21339.71,7211.45,1535,19338.56,7280.43,1542.51
TXN01762,26/03/2024,2024,3,Q1,Operations,Auckland,Software,Corporate,28194.09,9479.56,2218.67,28817.82,10342.4,2155.6
TXN01179,27/03/2024,2024,3,Q1,Administration,Auckland,Software,Corporate,13464.88,4552.78,1107.28,12203.68,4539.91,1239.32
TXN00191,28/03/2024,2024,3,Q1,Sales,Tauranga,Software,Corporate,20370.6,6573.62,1954.06,18448.92,6806.87,1961.96
TXN00249,28/03/2024,2024,3,Q1,IT,Hamilton,Consulting,Government,20077.58,8082.44,2134.97,20820.46,8111.27,2293.08
TXN00321,28/03/2024,2024,3,Q1,Sales,Christchurch,Consulting,SME,18625.31,8113.11,1915.6,18194.98,7840.45,1901.8
TXN00377,28/03/2024,2024,3,Q1,Operations,Wellington,Support Services,Government,12636.28,4579.21,1075.25,10456.26,4442.61,1061.13
TXN00615,28/03/2024,2024,3,Q1,Operations,Auckland,Training,Government,9324.23,4025.13,725.18,8850.14,4050.95,743.95
TXN00822,28/03/2024,2024,3,Q1,Customer Service,Hamilton,Hardware,SME,8758.27,5329.17,739.14,8792.75,5225.68,707.05
TXN01350,28/03/2024,2024,3,Q1,IT,Hamilton,Training,Corporate,15950.88,6803.99,1528.93,15350.58,6809.29,1624.26
TXN01007,29/03/2024,2024,3,Q1,Marketing,Wellington,Software,Individual,11491.5,3951.62,1585.86,11497.65,4225.83,1636
TXN01657,29/03/2024,2024,3,Q1,Customer Service,Auckland,Professional Services,Government,24262.18,9227.01,2029.17,23015.47,9126.66,2061.19
TXN01663,29/03/2024,2024,3,Q1,Customer Service,Wellington,Support Services,Corporate,12671.49,4946.77,1029.28,12385.4,5166.67,1052.37
TXN01972,29/03/2024,2024,3,Q1,IT,Christchurch,Professional Services,Government,23802.58,9267.25,2082.75,22980.25,9201.17,2044.94
TXN00201,30/03/2024,2024,3,Q1,Operations,Tauranga,Training,Corporate,11943.25,5149.33,1052.58,11367.44,5146.14,1094.29
TXN01357,30/03/2024,2024,3,Q1,Sales,Tauranga,Training,Corporate,14872.22,6190.27,1313.35,14470.6,6317.5,1413.91
TXN01654,30/03/2024,2024,3,Q1,Operations,Christchurch,Support Services,Government,12749.29,5264.71,898.62,13033.52,5250.89,924.16
TXN01670,30/03/2024,2024,3,Q1,Marketing,Hamilton,Support Services,SME,8303.95,2908.38,962.39,7971.06,2966.79,945.01
